scaleID,scaleCategory,scaleText,scaleTextMin,scaleTextMax,comprehensionCheck,comprehensionCheckRequestedResponse,priorTrialIdx,priorSliderStart,priorResponse,priorRT,timeElapsed,subjectID,prolificID,studyID,sessionID,DEBUG
32,personality,I see myself as someone who is a reliable worker,Strongly disagree,Strongly agree,0,,1,50,100,30413,163659,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
12,face processing,I see myself as someone who is boring,Strongly disagree,Strongly agree,0,,2,50,0,11653,175314,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
51,personality,I see myself as someone who is considerate and kind to almost everyone,Strongly disagree,Strongly agree,0,,3,50,100,6526,181842,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
23,personality,"I see myself as someone who is depressed, blue",Strongly disagree,Strongly agree,0,,4,50,51,7557,189402,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
11,face processing,I see myself as someone who is mean,Strongly disagree,Strongly agree,0,,5,50,0,3942,193346,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
38,personality,I see myself as someone who worries a lot,Strongly disagree,Strongly agree,0,,6,50,100,24445,217794,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
50,personality,"I see myself as someone who is sometimes shy, inhibited",Strongly disagree,Strongly agree,0,,7,50,51,15357,233154,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
53,personality,I see myself as someone who remains calm in tense situations,Strongly disagree,Strongly agree,0,,8,50,52,24302,257458,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
8,face processing,I see myself as someone who is unhappy,Strongly disagree,Strongly agree,0,,9,50,53,6861,264322,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
41,personality,I see myself as someone who is generally trusting,Strongly disagree,Strongly agree,0,,10,50,100,3814,268138,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
,ATTENTION CHECK,Please drag the slider all the way to the end labeled HAMBURGER,HOTDOG,HAMBURGER,1,100,11,50,100,64005,332145,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
17,face processing,I see myself as someone who is caring,Strongly disagree,Strongly agree,0,,12,50,100,5774,337921,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
44,personality,I see myself as someone who is inventive,Strongly disagree,Strongly agree,0,,13,50,100,16382,354305,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
34,personality,"I see myself as someone who is ingenious, a deep thinker",Strongly disagree,Strongly agree,0,,14,50,100,3918,358225,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
5,face processing,I see myself as someone who is trustworthy,Strongly disagree,Strongly agree,0,,15,50,100,3590,361817,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
56,personality,I see myself as someone who is sometimes rude to others,Strongly disagree,Strongly agree,0,,16,50,76,5678,367497,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
61,personality,I see myself as someone who likes to cooperate with others,Strongly disagree,Strongly agree,0,,17,50,100,3910,371409,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
3,demographic,How would you describe your political views?,Very conservative,Very liberal,0,,18,50,89,14430,385841,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
25,personality,I see myself as someone who is reserved,Strongly disagree,Strongly agree,0,,19,50,0,7263,393106,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
31,personality,I see myself as someone who starts quarrels with others,Strongly disagree,Strongly agree,0,,20,50,0,4989,398097,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
55,personality,"I see myself as someone who is outgoing, sociable",Strongly disagree,Strongly agree,0,,21,50,100,4222,402321,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
63,personality,"I see myself as someone who is sophisticated in art, music, or literature",Strongly disagree,Strongly agree,0,,22,50,100,8246,410568,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
39,personality,I see myself as someone who has an active imagination,Strongly disagree,Strongly agree,0,,23,50,100,8295,418866,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
,ATTENTION CHECK,Please drag the slider all the way to the end labeled STRAWBERRY,STRAWBERRY,PINEAPPLE,1,0,24,50,0,8789,427656,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
48,personality,I see myself as someone who can be moody,Strongly disagree,Strongly agree,0,,25,50,100,5518,433176,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
30,personality,I see myself as someone who is full of energy,Strongly disagree,Strongly agree,0,,26,50,100,31590,464768,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
16,face processing,I see myself as someone who is confident,Strongly disagree,Strongly agree,0,,27,50,100,3670,468440,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
2,demographic,I consider myself as:,Not at all masculine,Totally masculine,0,,28,50,53,16446,484888,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
29,personality,I see myself as someone who is curious about many different things,Strongly disagree,Strongly agree,0,,29,50,100,6173,491064,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
47,personality,I see myself as someone who perseveres until the task is finished,Strongly disagree,Strongly agree,0,,30,50,100,5830,496896,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
27,personality,I see myself as someone who can be somewhat careless,Strongly disagree,Strongly agree,0,,31,50,0,7430,504328,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
59,personality,"I see myself as someone who likes to reflect, play with ideas",Strongly disagree,Strongly agree,0,,32,50,100,5574,509904,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
49,personality,"I see myself as someone who values artistic, aesthetic experiences",Strongly disagree,Strongly agree,0,,33,50,100,4574,514480,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
43,personality,"I see myself as someone who is emotionally stable, not easily upset",Strongly disagree,Strongly agree,0,,34,50,100,5982,520464,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
42,personality,I see myself as someone who tends to be lazy,Strongly disagree,Strongly agree,0,,35,50,49,6598,527064,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
13,face processing,I see myself as someone who is aggressive,Strongly disagree,Strongly agree,0,,36,50,0,5190,532256,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
14,face processing,I see myself as someone who is weird,Strongly disagree,Strongly agree,0,,37,50,0,8870,541127,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
1,demographic,I consider myself as:,Not at all feminine,Totally feminine,0,,38,50,49,4302,545432,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
45,personality,I see myself as someone who has an assertive personality,Strongly disagree,Strongly agree,0,,39,50,100,5814,551248,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
21,personality,I see myself as someone who tends to find fault with others,Strongly disagree,Strongly agree,0,,40,50,0,5734,556983,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
28,personality,"I see myself as someone who is relaxed, handles stress well",Strongly disagree,Strongly agree,0,,41,50,51,3806,560791,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
40,personality,I see myself as someone who tends to be quiet,Strongly disagree,Strongly agree,0,,42,50,49,3382,564175,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
22,personality,I see myself as someone who does a thorough job,Strongly disagree,Strongly agree,0,,43,50,100,9262,573439,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
60,personality,I see myself as someone who has few artistic interests,Strongly disagree,Strongly agree,0,,44,50,0,4454,577895,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
26,personality,I see myself as someone who is helpful and unselfish with others,Strongly disagree,Strongly agree,0,,45,50,100,5646,583544,gcv4,5daa,6914ebe81814f5c4d4daa911,691786a6b25a73a3cba49f70,0
