"","scaleID","scaleCategory","scaleText","scaleTextMin","scaleTextMax","comprehensionCheck","comprehensionCheckRequestedResponse","priorTrialIdx","priorSliderStart","priorResponse","priorRT","timeElapsed","subjectID","prolificID","studyID","sessionID","DEBUG"
"1",32,"personality","I see myself as someone who is a reliable worker","Strongly disagree","Strongly agree",0,NA,1,50,100,30413,163659,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"2",12,"face processing","I see myself as someone who is boring","Strongly disagree","Strongly agree",0,NA,2,50,0,11653,175314,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"3",51,"personality","I see myself as someone who is considerate and kind to almost everyone","Strongly disagree","Strongly agree",0,NA,3,50,100,6526,181842,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"4",23,"personality","I see myself as someone who is depressed, blue","Strongly disagree","Strongly agree",0,NA,4,50,51,7557,189402,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"5",11,"face processing","I see myself as someone who is mean","Strongly disagree","Strongly agree",0,NA,5,50,0,3942,193346,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"6",38,"personality","I see myself as someone who worries a lot","Strongly disagree","Strongly agree",0,NA,6,50,100,24445,217794,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"7",50,"personality","I see myself as someone who is sometimes shy, inhibited","Strongly disagree","Strongly agree",0,NA,7,50,51,15357,233154,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"8",53,"personality","I see myself as someone who remains calm in tense situations","Strongly disagree","Strongly agree",0,NA,8,50,52,24302,257458,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"9",8,"face processing","I see myself as someone who is unhappy","Strongly disagree","Strongly agree",0,NA,9,50,53,6861,264322,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"10",41,"personality","I see myself as someone who is generally trusting","Strongly disagree","Strongly agree",0,NA,10,50,100,3814,268138,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"11",NA,"ATTENTION CHECK","Please drag the slider all the way to the end labeled HAMBURGER","HOTDOG","HAMBURGER",1,100,11,50,100,64005,332145,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"12",17,"face processing","I see myself as someone who is caring","Strongly disagree","Strongly agree",0,NA,12,50,100,5774,337921,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"13",44,"personality","I see myself as someone who is inventive","Strongly disagree","Strongly agree",0,NA,13,50,100,16382,354305,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"14",34,"personality","I see myself as someone who is ingenious, a deep thinker","Strongly disagree","Strongly agree",0,NA,14,50,100,3918,358225,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"15",5,"face processing","I see myself as someone who is trustworthy","Strongly disagree","Strongly agree",0,NA,15,50,100,3590,361817,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"16",56,"personality","I see myself as someone who is sometimes rude to others","Strongly disagree","Strongly agree",0,NA,16,50,76,5678,367497,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"17",61,"personality","I see myself as someone who likes to cooperate with others","Strongly disagree","Strongly agree",0,NA,17,50,100,3910,371409,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"18",3,"demographic","How would you describe your political views?","Very conservative","Very liberal",0,NA,18,50,89,14430,385841,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"19",25,"personality","I see myself as someone who is reserved","Strongly disagree","Strongly agree",0,NA,19,50,0,7263,393106,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"20",31,"personality","I see myself as someone who starts quarrels with others","Strongly disagree","Strongly agree",0,NA,20,50,0,4989,398097,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"21",55,"personality","I see myself as someone who is outgoing, sociable","Strongly disagree","Strongly agree",0,NA,21,50,100,4222,402321,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"22",63,"personality","I see myself as someone who is sophisticated in art, music, or literature","Strongly disagree","Strongly agree",0,NA,22,50,100,8246,410568,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"23",39,"personality","I see myself as someone who has an active imagination","Strongly disagree","Strongly agree",0,NA,23,50,100,8295,418866,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"24",NA,"ATTENTION CHECK","Please drag the slider all the way to the end labeled STRAWBERRY","STRAWBERRY","PINEAPPLE",1,0,24,50,0,8789,427656,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"25",48,"personality","I see myself as someone who can be moody","Strongly disagree","Strongly agree",0,NA,25,50,100,5518,433176,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"26",30,"personality","I see myself as someone who is full of energy","Strongly disagree","Strongly agree",0,NA,26,50,100,31590,464768,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"27",16,"face processing","I see myself as someone who is confident","Strongly disagree","Strongly agree",0,NA,27,50,100,3670,468440,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"28",2,"demographic","I consider myself as:","Not at all masculine","Totally masculine",0,NA,28,50,53,16446,484888,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"29",29,"personality","I see myself as someone who is curious about many different things","Strongly disagree","Strongly agree",0,NA,29,50,100,6173,491064,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"30",47,"personality","I see myself as someone who perseveres until the task is finished","Strongly disagree","Strongly agree",0,NA,30,50,100,5830,496896,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"31",27,"personality","I see myself as someone who can be somewhat careless","Strongly disagree","Strongly agree",0,NA,31,50,0,7430,504328,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"32",59,"personality","I see myself as someone who likes to reflect, play with ideas","Strongly disagree","Strongly agree",0,NA,32,50,100,5574,509904,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"33",49,"personality","I see myself as someone who values artistic, aesthetic experiences","Strongly disagree","Strongly agree",0,NA,33,50,100,4574,514480,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"34",43,"personality","I see myself as someone who is emotionally stable, not easily upset","Strongly disagree","Strongly agree",0,NA,34,50,100,5982,520464,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"35",42,"personality","I see myself as someone who tends to be lazy","Strongly disagree","Strongly agree",0,NA,35,50,49,6598,527064,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"36",13,"face processing","I see myself as someone who is aggressive","Strongly disagree","Strongly agree",0,NA,36,50,0,5190,532256,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"37",14,"face processing","I see myself as someone who is weird","Strongly disagree","Strongly agree",0,NA,37,50,0,8870,541127,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"38",1,"demographic","I consider myself as:","Not at all feminine","Totally feminine",0,NA,38,50,49,4302,545432,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"39",45,"personality","I see myself as someone who has an assertive personality","Strongly disagree","Strongly agree",0,NA,39,50,100,5814,551248,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"40",21,"personality","I see myself as someone who tends to find fault with others","Strongly disagree","Strongly agree",0,NA,40,50,0,5734,556983,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"41",28,"personality","I see myself as someone who is relaxed, handles stress well","Strongly disagree","Strongly agree",0,NA,41,50,51,3806,560791,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"42",40,"personality","I see myself as someone who tends to be quiet","Strongly disagree","Strongly agree",0,NA,42,50,49,3382,564175,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"43",22,"personality","I see myself as someone who does a thorough job","Strongly disagree","Strongly agree",0,NA,43,50,100,9262,573439,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"44",60,"personality","I see myself as someone who has few artistic interests","Strongly disagree","Strongly agree",0,NA,44,50,0,4454,577895,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"45",26,"personality","I see myself as someone who is helpful and unselfish with others","Strongly disagree","Strongly agree",0,NA,45,50,100,5646,583544,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"46",35,"personality","I see myself as someone who generates a lot of enthusiasm","Strongly disagree","Strongly agree",0,NA,46,50,100,4022,587567,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"47",52,"personality","I see myself as someone who does things efficiently","Strongly disagree","Strongly agree",0,NA,47,50,100,4294,591863,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"48",37,"personality","I see myself as someone who tends to be disorganized","Strongly disagree","Strongly agree",0,NA,48,50,0,6686,598551,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"49",33,"personality","I see myself as someone who can be tense","Strongly disagree","Strongly agree",0,NA,49,50,50,4621,603175,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"50",6,"face processing","I see myself as someone who is dominant","Strongly disagree","Strongly agree",0,NA,50,50,49,3422,606599,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"51",62,"personality","I see myself as someone who is easily distracted","Strongly disagree","Strongly agree",0,NA,51,50,52,3286,609887,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"52",36,"personality","I see myself as someone who has a forgiving nature","Strongly disagree","Strongly agree",0,NA,52,50,100,4030,613919,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"53",18,"face processing","I see myself as someone who is egotistic","Strongly disagree","Strongly agree",0,NA,53,50,0,5414,619335,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"54",46,"personality","I see myself as someone who can be cold and aloof","Strongly disagree","Strongly agree",0,NA,54,50,0,12742,632079,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"55",24,"personality","I see myself as someone who is original, comes up with new ideas","Strongly disagree","Strongly agree",0,NA,55,50,100,4662,636743,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"56",15,"face processing","I see myself as someone who is intelligent","Strongly disagree","Strongly agree",0,NA,56,50,100,4726,641471,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"57",4,"demographic","How important would you say religion is in your own life?","Not very important","Very important",0,NA,57,50,51,4686,646159,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"58",57,"personality","I see myself as someone who makes plans and follows through with them","Strongly disagree","Strongly agree",0,NA,58,50,100,6326,652487,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"59",19,"face processing","I see myself as someone who is responsible","Strongly disagree","Strongly agree",0,NA,59,50,100,3526,656015,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"60",54,"personality","I see myself as someone who prefers work that is routine","Strongly disagree","Strongly agree",0,NA,60,50,0,6574,662591,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"61",20,"personality","I see myself as someone who is talkative","Strongly disagree","Strongly agree",0,NA,61,50,100,4894,667487,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"62",58,"personality","I see myself as someone who gets nervous easily","Strongly disagree","Strongly agree",0,NA,62,50,0,4382,671871,"gcv4","5daa","6914ebe81814f5c4d4daa911","691786a6b25a73a3cba49f70",0
"63",3,"demographic","How would you describe your political views?","Very conservative","Very liberal",0,NA,1,50,68,5201,35081,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"64",59,"personality","I see myself as someone who likes to reflect, play with ideas","Strongly disagree","Strongly agree",0,NA,2,50,39,8057,43140,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"65",62,"personality","I see myself as someone who is easily distracted","Strongly disagree","Strongly agree",0,NA,3,50,80,7581,50722,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"66",6,"face processing","I see myself as someone who is dominant","Strongly disagree","Strongly agree",0,NA,4,50,88,4930,55653,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"67",33,"personality","I see myself as someone who can be tense","Strongly disagree","Strongly agree",0,NA,5,50,21,4524,60177,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"68",2,"demographic","I consider myself as:","Not at all masculine","Totally masculine",0,NA,6,50,42,8055,68234,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"69",32,"personality","I see myself as someone who is a reliable worker","Strongly disagree","Strongly agree",0,NA,7,50,81,10985,79220,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"70",NA,"ATTENTION CHECK","Please drag the slider all the way to the end labeled STRAWBERRY","STRAWBERRY","PINEAPPLE",1,0,8,50,0,8011,87233,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"71",51,"personality","I see myself as someone who is considerate and kind to almost everyone","Strongly disagree","Strongly agree",0,NA,9,50,89,13214,100449,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"72",53,"personality","I see myself as someone who remains calm in tense situations","Strongly disagree","Strongly agree",0,NA,10,50,96,8899,109348,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"73",28,"personality","I see myself as someone who is relaxed, handles stress well","Strongly disagree","Strongly agree",0,NA,11,50,94,17657,127006,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"74",60,"personality","I see myself as someone who has few artistic interests","Strongly disagree","Strongly agree",0,NA,12,50,31,34258,161266,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"75",63,"personality","I see myself as someone who is sophisticated in art, music, or literature","Strongly disagree","Strongly agree",0,NA,13,50,50,19378,180644,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"76",26,"personality","I see myself as someone who is helpful and unselfish with others","Strongly disagree","Strongly agree",0,NA,14,50,79,17581,198226,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"77",27,"personality","I see myself as someone who can be somewhat careless","Strongly disagree","Strongly agree",0,NA,15,50,13,12208,210434,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"78",56,"personality","I see myself as someone who is sometimes rude to others","Strongly disagree","Strongly agree",0,NA,16,50,8,8840,219275,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"79",45,"personality","I see myself as someone who has an assertive personality","Strongly disagree","Strongly agree",0,NA,17,50,77,2564,221841,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"80",21,"personality","I see myself as someone who tends to find fault with others","Strongly disagree","Strongly agree",0,NA,18,50,8,10838,232679,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"81",NA,"ATTENTION CHECK","Please drag the slider all the way to the end labeled HAMBURGER","HOTDOG","HAMBURGER",1,100,19,50,100,3578,236259,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"82",31,"personality","I see myself as someone who starts quarrels with others","Strongly disagree","Strongly agree",0,NA,20,50,9,12456,248715,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"83",14,"face processing","I see myself as someone who is weird","Strongly disagree","Strongly agree",0,NA,21,50,2,3386,252102,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"84",15,"face processing","I see myself as someone who is intelligent","Strongly disagree","Strongly agree",0,NA,22,50,95,14225,266329,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"85",50,"personality","I see myself as someone who is sometimes shy, inhibited","Strongly disagree","Strongly agree",0,NA,23,50,29,3926,270255,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"86",23,"personality","I see myself as someone who is depressed, blue","Strongly disagree","Strongly agree",0,NA,24,50,9,4579,274836,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"87",5,"face processing","I see myself as someone who is trustworthy","Strongly disagree","Strongly agree",0,NA,25,50,99,2983,277819,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"88",8,"face processing","I see myself as someone who is unhappy","Strongly disagree","Strongly agree",0,NA,26,50,4,5552,283373,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
"89",58,"personality","I see myself as someone who gets nervous easily","Strongly disagree","Strongly agree",0,NA,27,50,17,2394,285767,"w92d","b672","6914ebe81814f5c4d4daa911","69177cca60baa45f9ca7fd45",0
